split,epoch,token_accuracy,macro_f1,weighted_f1,loss,sequence_exact_match,error_position_accuracy
train,1,0.9562383582209154,0.09880438357890745,0.9579223951819743,0.25388928829431534,0.4722735969387755,0.002505268298127517
dev,1,0.9783970620004321,0.16484676421343816,0.9677135387202351,0.13491722056865693,0.5012063419117647,0.0
train,2,0.979594690285748,0.1662753269184167,0.9695369680512137,0.12427844357728958,0.5011559311224489,0.0018752981737560155
dev,2,0.9790451501404192,0.18675667952171104,0.9693469442909817,0.12077524818181992,0.5171760110294118,0.03282505741808563
train,3,0.9805562869286636,0.19581715971588154,0.9717971320787806,0.11165088771343232,0.5247648278061224,0.050272901948750476
dev,3,0.9798833441348024,0.20642746425088876,0.971088000697775,0.10419096945524216,0.5357077205882353,0.06933253072202206
train,4,0.9809765766178291,0.21183543586349055,0.9727570878890555,0.0971514932847023,0.5366230867346938,0.07293936880115344
dev,4,0.9806264852019875,0.26088733760490057,0.9728853730078784,0.08904717053174972,0.5541704963235294,0.11205152906477452
train,5,0.981329816200941,0.2447948823646027,0.9737750964375055,0.08678461406707763,0.5475605867346939,0.09897134122343695
dev,5,0.9809721322099806,0.3041677149075987,0.9738608833715302,0.07872163870334625,0.5639131433823529,0.13718915320932865
test_id,best,0.9812645156834134,0.3049226152588719,0.9742390295862724,0.07850374492406845,0.5678079044117647,0.14279475510120393
test_ood,best,0.9919660812783493,0.2005705782236762,0.9883546828550961,0.06485690761208535,0.5288947610294118,0.055355957709252834
