split,stage_max_depth,epoch_in_stage,rows,loss,accuracy,macro_f1
train,1,1,677,0.6881986660126217,0.5332348596750369,0.4642055700260469
dev,1,1,5000,0.7947018801689147,0.5,0.3333333333333333
train,2,1,6172,0.6660838421103402,0.6087167854828257,0.38679194634185776
dev,2,1,5000,0.684225902557373,0.5038,0.36721035565226534
train,3,1,15872,0.43063992430125514,0.7946068548387096,0.7943030293142448
dev,3,1,5000,0.34826490800380705,0.8602,0.8594344179915259
train,4,1,50000,0.31824676652908324,0.87258,0.870775179948361
dev,4,1,5000,0.31090329234600067,0.875,0.873015873015873
test_id,best,best,5000,0.31139775495529176,0.875,0.873015873015873
test_ood,best,best,5000,1.6865363787651062,0.4852,0.4686665172712694
