layer,split,position_relation,rows,r2,mae
1,dev_corrupt,after_error,9765,-0.2651832103729248,1.2715296745300293
1,dev_corrupt,all,22055,0.11625444889068604,1.046860694885254
1,dev_corrupt,at_error,1000,0.2394772171974182,0.9540706276893616
1,dev_corrupt,before_error,11290,0.3159591555595398,0.86075758934021
1,dev_valid,all,24090,0.28613269329071045,0.8997839093208313
1,dev_valid,valid,24090,0.28613269329071045,0.8997839093208313
1,test_id_corrupt,after_error,10150,-0.25690340995788574,1.2397719621658325
1,test_id_corrupt,all,22535,0.11945468187332153,1.033427119255066
1,test_id_corrupt,at_error,1000,0.245383620262146,0.9571230411529541
1,test_id_corrupt,before_error,11385,0.31880664825439453,0.8561678528785706
1,test_id_valid,all,24362,0.2852652072906494,0.900533139705658
1,test_id_valid,valid,24362,0.2852652072906494,0.900533139705658
1,test_ood_corrupt,after_error,28877,-1.997539758682251,2.806610345840454
1,test_ood_corrupt,all,58698,-1.032564401626587,2.172541618347168
1,test_ood_corrupt,at_error,1000,-0.6787971258163452,1.9744224548339844
1,test_ood_corrupt,before_error,28821,-0.41060101985931396,1.5441149473190308
1,test_ood_valid,all,58640,-0.9525468349456787,1.8954448699951172
1,test_ood_valid,valid,58640,-0.9525468349456787,1.8954448699951172
2,dev_corrupt,after_error,9765,-0.21979665756225586,1.2540242671966553
2,dev_corrupt,all,22055,0.1211014986038208,1.0601203441619873
2,dev_corrupt,at_error,1000,0.1696982979774475,1.023632526397705
2,dev_corrupt,before_error,11290,0.28159892559051514,0.895639955997467
2,dev_valid,all,24090,0.2772289514541626,0.9048642516136169
2,dev_valid,valid,24090,0.2772289514541626,0.9048642516136169
2,test_id_corrupt,after_error,10150,-0.2060006856918335,1.2169082164764404
2,test_id_corrupt,all,22535,0.12644213438034058,1.0439566373825073
2,test_id_corrupt,at_error,1000,0.19663941860198975,1.0167124271392822
2,test_id_corrupt,before_error,11385,0.2812619209289551,0.8921592235565186
2,test_id_valid,all,24362,0.2784152626991272,0.905397891998291
2,test_id_valid,valid,24362,0.2784152626991272,0.905397891998291
2,test_ood_corrupt,after_error,28877,-1.6113579273223877,2.690678119659424
2,test_ood_corrupt,all,58698,-0.769024133682251,2.086737871170044
2,test_ood_corrupt,at_error,1000,-0.4014703035354614,1.83623468875885
2,test_ood_corrupt,before_error,28821,-0.22703003883361816,1.4903157949447632
2,test_ood_valid,all,58640,-0.5299491882324219,1.7431766986846924
2,test_ood_valid,valid,58640,-0.5299491882324219,1.7431766986846924
